Presynaptic Neuron Type,Postsynaptic Neuron Type,gsyn_max,tau_d,tau_r,tau_f,Uinc
 DG Granule,DG Adult-Born Immature Granule,1.58,6.12,556.15,28.22,0.2
 DG Granule,DG Mossy MOLDEN,1.58,6.12,556.15,28.22,0.2
 DG Granule,DG AIPRIM,1.58,6.12,556.15,28.22,0.2
 DG Granule,DG Axo-axonic,1.58,6.12,556.15,28.22,0.2
 DG Granule,DG Granulosum-targeting Axo-axonic,1.58,6.12,556.15,28.22,0.2
 DG Granule,DG Interneuron Specific IMOT,1.58,6.12,556.15,28.22,0.2
 DG Granule,DG Hilus-Associated Interneuron,1.58,6.12,556.15,28.22,0.2
 DG Granule,DG Interneuron Specific HIMOLD,1.58,6.12,556.15,28.22,0.2
 DG Granule,DG Recurrent HIPP,1.58,6.12,556.15,28.22,0.2
 DG Granule,DG HIPP-CAP,1.58,6.12,556.15,28.22,0.2
 DG Granule,DG Recurrent HIPP-CAP,1.58,6.12,556.15,28.22,0.2
 DG Granule,DG HIPROM,1.58,6.12,556.15,28.22,0.2
 DG Granule,DG Ivy,1.58,6.12,556.15,28.22,0.2
 DG Granule,DG MOLAX,1.58,6.12,556.15,28.22,0.2
 DG Granule,DG Outer Molecular Layer,1.58,6.12,556.15,28.22,0.2
 DG Granule,DG Total Molecular Layer,1.58,6.12,556.15,28.22,0.2
 DG Granule,CA3c Umbrella Pyramidal,1.58,6.12,556.15,28.22,0.2
 DG Granule,CA3 Mossy Fiber-Associated Basket CCK+,1.58,6.12,556.15,28.22,0.2
 DG Granule,CA3 Bistratified,1.58,6.12,556.15,28.22,0.2
 DG Granule,CA3 Bilayer Ivy,1.58,6.12,556.15,28.22,0.2
 DG Granule,CA3 LMR-Targeting,1.58,6.12,556.15,28.22,0.2
 DG Granule,CA3 Lucidum,1.58,6.12,556.15,28.22,0.2
 DG Granule,CA3 Lucidum LAX,1.58,6.12,556.15,28.22,0.2
 DG Granule,CA3 Lucidum ORAX,1.58,6.12,556.15,28.22,0.2
 DG Granule,CA3 Lucidum-Radiatum,1.58,6.12,556.15,28.22,0.2
 DG Granule,CA3 Mossy Fiber-Associated,1.58,6.12,556.15,28.22,0.2
 DG Granule,CA3 Interneuron Specific Quad,1.58,6.12,556.15,28.22,0.2
 DG Granule,CA3 QuadD-LM,1.58,6.12,556.15,28.22,0.2
 DG Granule,CA2 Basket,1.58,6.12,556.15,28.22,0.2
 DG Granule,CA2 Wide-Arbor Basket,1.58,6.12,556.15,28.22,0.2
 DG Granule,CA2 Bistratified,1.58,6.12,556.15,28.22,0.2
 DG Hilar Ectopic Granule,DG Adult-Born Immature Granule,1.58,6.12,556.15,28.22,0.2
 DG Hilar Ectopic Granule,DG Hilar Ectopic Granule,1.58,6.12,556.15,28.22,0.2
 DG Hilar Ectopic Granule,DG Mossy,1.58,6.12,556.15,28.22,0.2
 DG Hilar Ectopic Granule,DG Mossy MOLDEN,1.58,6.12,556.15,28.22,0.2
 DG Hilar Ectopic Granule,DG AIPRIM,1.58,6.12,556.15,28.22,0.2
 DG Hilar Ectopic Granule,DG Axo-axonic,1.58,6.12,556.15,28.22,0.2
 DG Hilar Ectopic Granule,DG Granulosum-targeting Axo-axonic,1.58,6.12,556.15,28.22,0.2
 DG Hilar Ectopic Granule,DG Basket,1.58,6.12,556.15,28.22,0.2
 DG Hilar Ectopic Granule,DG Basket CCK+,1.58,6.12,556.15,28.22,0.2
 DG Hilar Ectopic Granule,DG HICAP,1.58,6.12,556.15,28.22,0.2
 DG Hilar Ectopic Granule,DG Interneuron Specific IMOT,1.58,6.12,556.15,28.22,0.2
 DG Hilar Ectopic Granule,DG Hilus-Associated Interneuron,1.58,6.12,556.15,28.22,0.2
 DG Hilar Ectopic Granule,DG Interneuron Specific HIMOLD,1.58,6.12,556.15,28.22,0.2
 DG Hilar Ectopic Granule,DG HIPP,1.58,6.12,556.15,28.22,0.2
 DG Hilar Ectopic Granule,DG Recurrent HIPP,1.58,6.12,556.15,28.22,0.2
 DG Hilar Ectopic Granule,DG HIPP-CAP,1.58,6.12,556.15,28.22,0.2
 DG Hilar Ectopic Granule,DG Recurrent HIPP-CAP,1.58,6.12,556.15,28.22,0.2
 DG Hilar Ectopic Granule,DG HIPROM,1.58,6.12,556.15,28.22,0.2
 DG Hilar Ectopic Granule,DG Ivy,1.58,6.12,556.15,28.22,0.2
 DG Hilar Ectopic Granule,DG MOLAX,1.58,6.12,556.15,28.22,0.2
 DG Hilar Ectopic Granule,DG Outer Molecular Layer,1.58,6.12,556.15,28.22,0.2
 DG Hilar Ectopic Granule,DG Total Molecular Layer,1.58,6.12,556.15,28.22,0.2
 DG Hilar Ectopic Granule,CA3 Pyramidal,1.58,6.12,556.15,28.22,0.2
 DG Hilar Ectopic Granule,CA3c Pyramidal,1.58,6.12,556.15,28.22,0.2
 DG Hilar Ectopic Granule,CA3c Umbrella Pyramidal,1.58,6.12,556.15,28.22,0.2
 DG Hilar Ectopic Granule,CA3 Axo-axonic,1.58,6.12,556.15,28.22,0.2
 DG Hilar Ectopic Granule,CA3 Basket,1.58,6.12,556.15,28.22,0.2
 DG Hilar Ectopic Granule,CA3 Basket CCK+,1.58,6.12,556.15,28.22,0.2
 DG Hilar Ectopic Granule,CA3 Mossy Fiber-Associated Basket CCK+,1.58,6.12,556.15,28.22,0.2
 DG Hilar Ectopic Granule,CA3 Bistratified,1.58,6.12,556.15,28.22,0.2
 DG Hilar Ectopic Granule,CA3 Ivy,1.58,6.12,556.15,28.22,0.2
 DG Hilar Ectopic Granule,CA3 Bilayer Ivy,1.58,6.12,556.15,28.22,0.2
 DG Hilar Ectopic Granule,CA3 LMR-Targeting,1.58,6.12,556.15,28.22,0.2
 DG Hilar Ectopic Granule,CA3 Lucidum,1.58,6.12,556.15,28.22,0.2
 DG Hilar Ectopic Granule,CA3 Lucidum LAX,1.58,6.12,556.15,28.22,0.2
 DG Hilar Ectopic Granule,CA3 Lucidum ORAX,1.58,6.12,556.15,28.22,0.2
 DG Hilar Ectopic Granule,CA3 Lucidum-Radiatum,1.58,6.12,556.15,28.22,0.2
 DG Hilar Ectopic Granule,CA3 Spiny Lucidum,1.58,6.12,556.15,28.22,0.2
 DG Hilar Ectopic Granule,CA3 Mossy Fiber-Associated,1.58,6.12,556.15,28.22,0.2
 DG Hilar Ectopic Granule,CA3 Mossy Fiber-Associated ORDEN,1.58,6.12,556.15,28.22,0.2
 DG Hilar Ectopic Granule,CA3 Interneuron Specific Quad,1.58,6.12,556.15,28.22,0.2
 DG Hilar Ectopic Granule,CA3 QuadD-LM,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,DG Granule,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,DG Adult-Born Immature Granule,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,DG Hilar Ectopic Granule,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,DG Semilunar Granule,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,DG Mossy MOLDEN,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,DG AIPRIM,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,DG Axo-axonic,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,DG Granulosum-targeting Axo-axonic,1.58,6.12,556.15,28.22,0.2
